phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance
D003015	species	28116	Bacteroides ovatus	Bacteria	317	3.33065338599369	0.17798	11.1962571543859	
D003015	species	821	Bacteroides vulgatus	Bacteria	307	2.11661212070033	0.101509	5.34647979434606	
D003015	species	818	Bacteroides thetaiotaomicron	Bacteria	306	1.86896244925817	0.0736211	5.41236375968367	
D003015	species	820	Bacteroides uniformis	Bacteria	306	1.48137614798039	0.1067795	3.74958978019018	
D003015	species	239935	Akkermansia muciniphila	Bacteria	298	5.96613516547315	0.105702	14.8493672049366	
D003015	species	562	Escherichia coli	Bacteria	296	7.53648212459122	0.129327	21.3042182727078	
D003015	species	817	Bacteroides fragilis	Bacteria	283	2.48161300340989	0.0280807	7.36590648417151	
D003015	species	208479	[Clostridium] bolteae	Bacteria	276	0.60342854976087	0.0461966	2.23288218885771	
D003015	species	1352	Enterococcus faecium	Bacteria	270	4.53191507613704	0.09194225	15.4119777479875	
D003015	species	823	Parabacteroides distasonis	Bacteria	268	0.542427508432836	0.0193091	1.51244015677591	
D003015	species	33038	[Ruminococcus] gnavus	Bacteria	268	0.827349463317164	0.04848365	2.43326854572052	
D003015	species	536633	Blautia glucerasea	Bacteria	266	1.45957673197368	0.0316462	8.39186952040471	
D003015	species	1535	[Clostridium] leptum	Bacteria	265	0.360175146566038	0.0526004	0.924493169125969	
D003015	species	357276	Bacteroides dorei	Bacteria	258	0.557211126593023	0.02709455	2.36524316875935	
D003015	species	28037	Streptococcus mitis	Bacteria	253	0.342152344332016	0.0294453	1.26219972266519	
D003015	species	351091	Oscillibacter valericigenes	Bacteria	251	0.283787609585657	0.0343027	0.905290974665755	
D003015	species	40520	Blautia obeum	Bacteria	249	0.405930091915663	0.0617145	1.45362504718928	
D003015	species	1512	[Clostridium] symbiosum	Bacteria	246	0.271923550821138	0.03905605	1.04250701370762	
D003015	species	69825	[Clostridium] indolis	Bacteria	246	0.200855744715447	0.0218721	0.528367757723714	
D003015	species	397865	Barnesiella viscericola	Bacteria	243	0.60458343162963	0.0122234	2.04252148779135	
D003015	species	28117	Alistipes putredinis	Bacteria	238	1.13785492681092	0.06696085	3.20760840569942	
